cell_type,region_a,region_b,kf,kn,omega
Astrocyte,Human A14,Human LEC,0.032956835636117274,0.0006184359223668184,53.290623076984346
Astrocyte,Human A14,Human LG,0.18953689637128732,0.0012052265000181118,157.26247005723738
Astrocyte,Human A14,Human LP,0.1549314916071694,0.0013400599770759828,115.6153412963132
Astrocyte,Human A14,Human LP-VPL,0.20735082188344234,0.002106071112894431,98.45385590920263
Astrocyte,Human A14,Human La,0.08979150299210499,0.001785469009718128,50.29014925679409
Astrocyte,Human A14,Human M1C,0.03773796146486168,0.0010792113774714292,34.96809082320923
Astrocyte,Human A14,Human MD,0.19329191349564623,0.0013182789331073479,146.62444240084537
Astrocyte,Human A14,Human MD-Re,0.20365529478648303,0.0014913801481635219,136.55491863510665
Astrocyte,Human A14,Human MEC,0.03726635245674731,0.0007765602593005312,47.98900279846167
Astrocyte,Human A14,Human MG,0.1983905198513345,0.0025677626339158845,77.26201683556137
Astrocyte,Human A14,Human MN,0.29521055715551825,0.0044768735454471,65.94123201352026
Astrocyte,Human A14,Human MTG,0.02611874062874934,0.0006687426552779194,39.05648970140058
Astrocyte,Human A14,Human MoAN,0.2701268016536885,0.0019829512793240814,136.22462864834748
Astrocyte,Human A14,Human MoRF-MoEN,0.2293873153807347,0.0016112714544128694,142.3641651147609
Astrocyte,Human A14,Human MoSR,0.23059957323857344,0.0037018742065161436,62.29265511849796
Astrocyte,Human A14,Human NAC,0.08543481503087541,0.0007430432198309734,114.97960381135033
Astrocyte,Human A14,Human PAG,0.20756840771008694,0.001263627546670957,164.26391483545018
Astrocyte,Human A14,Human PAG-DR,0.20432565306218103,0.0012065378214628259,169.348734393136
Astrocyte,Human A14,Human PB,0.22201101830590128,0.0011937381814183597,185.97965765165964
Astrocyte,Human A14,Human PN,0.22774212482474035,0.0019758391254017984,115.26349584682289
Astrocyte,Human A14,Human PTR,0.19044812397094002,0.0012842448212632323,148.29580841416825
Astrocyte,Human A14,Human Pir,0.047724364043646786,0.0006141656009490846,77.70601930472367
Astrocyte,Human A14,Human PnAN,0.22866749622182195,0.0017066394418460721,133.98699843387675
Astrocyte,Human A14,Human PnEN,0.2314381970945744,0.0019421625654676765,119.16520337155383
Astrocyte,Human A14,Human PnRF,0.21265507127899202,0.0014928632735513082,142.44778811733778
Astrocyte,Human A14,Human Pro,0.018368335983484526,0.0005792258132310536,31.71187395986681
Astrocyte,Human A14,Human Pu,0.0816549939842989,0.000660996838368906,123.53310824571113
Astrocyte,Human A14,Human Pul,0.17535911051021652,0.0009150398335366081,191.64095822195802
Astrocyte,Human A14,Human RN,0.16021813400138887,0.0018031275111687582,88.85568713747708
Astrocyte,Human A14,Human S1C,0.03294764607715786,0.0010947830023518806,30.09513849445752
Astrocyte,Human A14,Human SC,0.21248871189175916,0.001396805152102569,152.12480536165427
Astrocyte,Human A14,Human SEP,0.12874876974014804,0.0017143614542155044,75.10013096920903
Astrocyte,Human A14,Human SI,0.05978216662371584,0.0009006579924453922,66.37610183350534
Astrocyte,Human A14,Human SN,0.21002992150412297,0.0010970149476938222,191.45584291777809
Astrocyte,Human A14,Human SN-RN,0.20955435174333598,0.001530473627529308,136.92124318510878
Astrocyte,Human A14,Human STG,0.029128122275329002,0.0009809895257188673,29.692592542192504
Astrocyte,Human A14,Human STH,0.22341307401790558,0.001760167676624711,126.92715414836012
Astrocyte,Human A14,Human SpC,0.32216874096731296,0.003869212338451279,83.26468355475852
Astrocyte,Human A14,Human Sub,0.03721908224677155,0.0006388560501507665,58.25894931728055
Astrocyte,Human A14,Human TF,0.022671528588510292,0.0006827985370472393,33.203832987916556
Astrocyte,Human A14,Human TH-TL,0.02659481673974442,0.0004960588001820235,53.612226473929574
Astrocyte,Human A14,Human V1C,0.030605415584245607,0.0010161010197053248,30.120445694583946
Astrocyte,Human A14,Human V2,0.0224962300273677,0.0006447751743684424,34.89003752261828
Astrocyte,Human A14,Human VA,0.08928821895935564,0.0007654240895719954,116.65195827489988
Astrocyte,Human A14,Human VLN,0.20439388454203955,0.0016539590683822148,123.57856276453269
Astrocyte,Human A14,Human VPL,0.20736009705191336,0.0050818303792180865,40.80421454047404
Astrocyte,Human A19,Human A1C,0.019593762252632787,0.0005953981069164724,32.908674087171
Astrocyte,Human A19,Human A23,0.006542310848380424,0.00042461366051208167,15.407678689589106
Astrocyte,Human A19,Human A24,0.03096885290349498,0.0005054046587739589,61.275360972376255
Astrocyte,Human A19,Human A25,0.024479478468155978,0.0003597797700355537,68.04017487069075
Astrocyte,Human A19,Human A29-A30,0.05454255230024274,0.002482755459802136,21.968555978763018
Astrocyte,Human A19,Human A32,0.014484791171659683,0.00027231889637836673,53.1905474217777
Astrocyte,Human A19,Human A35-36,0.06234059071878644,0.0032059702614658206,19.44515564229948
Astrocyte,Human A19,Human A35-A36,0.03447016525065383,0.0005744777760843269,60.00260877906266
Astrocyte,Human A19,Human A35r,0.04637170977720895,0.0008572022315697332,54.09658079434972
Astrocyte,Human A19,Human A38,0.01954418542104376,0.000574619432416658,34.01239902181418
Astrocyte,Human A19,Human A40,0.006849453046538069,0.00041472046841510557,16.51583070571346
Astrocyte,Human A19,Human A43,0.006231313644684341,0.0003994279960838568,15.60059311259726
Astrocyte,Human A19,Human A44-A45,0.009651297137942456,0.00037299759585080416,25.87495803003216
Astrocyte,Human A19,Human A46,0.005714142129301492,0.00026348964732460396,21.686400916776815
Astrocyte,Human A19,Human A5-A7,0.005169523141657817,0.0003099931499125447,16.676249598148356
Astrocyte,Human A19,Human ANC,0.19975230323685988,0.001179308824807364,169.38082632383316
Astrocyte,Human A19,Human AON,0.025928967486619853,0.0004323094357244853,59.97779679077978
Astrocyte,Human A19,Human BL,0.06742396101242304,0.0007708575191201479,87.46617804205937
