cell_type,region_a,region_b,pair_idx,omega,mu_ct,mu_pair,expected_omega,residual,lowest_in_pair,tier
Oligodendrocyte precursor,Human BNST,Human STH,2091,53.71522320964321,22.558656731201385,38.2876911015857,26.52303192462805,2.0252293690362664,False,None
Oligodendrocyte precursor,Human BNST,Human SpC,2092,47.35082494310157,22.558656731201385,35.863490168021,24.84371523295147,1.9059478221799044,False,None
Oligodendrocyte precursor,Human BNST,Human Sub,2093,66.74673031107658,22.558656731201385,43.217899444452165,29.93833510720881,2.229473685562586,False,None
Oligodendrocyte precursor,Human BNST,Human TF,2094,29.335088496568613,22.558656731201385,53.99542730510545,37.404251888616315,0.7842714936238709,False,None
Oligodendrocyte precursor,Human BNST,Human TH-TL,2095,67.13278772675535,22.558656731201385,45.291299411970265,31.37464144871938,2.139714897984771,False,None
Oligodendrocyte precursor,Human BNST,Human V1C,2096,39.9691403069568,22.558656731201385,36.45442428267773,25.253073017070843,1.5827436241101442,False,None
Oligodendrocyte precursor,Human BNST,Human V2,2097,27.22182917172216,22.558656731201385,29.359946315200897,20.338515356210348,1.3384373782922163,False,None
Oligodendrocyte precursor,Human BNST,Human VA,2098,29.162129184430867,22.558656731201385,34.12760810219712,23.641217664553327,1.2335290676738435,False,None
Oligodendrocyte precursor,Human BNST,Human VLN,2099,51.54659580276336,22.558656731201385,37.144355219246414,25.73100886877442,2.0032870092908466,False,None
Oligodendrocyte precursor,Human BNST,Human VPL,2100,38.84722167178089,22.558656731201385,34.77664688794902,24.09082629697636,1.6125317244372233,False,None
Oligodendrocyte precursor,Human CA1-3,Human CA1C-CA3C,2101,15.894030653839353,22.558656731201385,13.54557472936257,9.383425864753676,1.6938409151332479,False,None
Oligodendrocyte precursor,Human CA1-3,Human CA1R-CA2R,2102,13.818220860955806,22.558656731201385,16.50264378895897,11.431876288753177,1.2087447862386635,False,None
Oligodendrocyte precursor,Human CA1-3,Human CA1R-CA2R-CA3R,2103,14.736910705837163,22.558656731201385,14.910372668781784,10.328862329486938,1.4267699806363072,False,None
