pair_type,cancer,sample_a,sample_b,omega,kn,kf
TT,TCGA-LUAD,TCGA-55-6971-01,TCGA-64-1680-01,61.7749796902989,0.005896304962720898,0.36424411931989203
TT,TCGA-LUAD,TCGA-55-7728-01,TCGA-75-6211-01,70.244010911436,0.008350211177467582,0.5865523250628277
TT,TCGA-LUAD,TCGA-N6-A4VC-01,TCGA-TQ-A7RJ-01,101.33230428603204,0.006399327697610417,0.6484586214802917
TT,TCGA-LUAD,TCGA-55-8085-01,TCGA-64-1677-01,72.77435039227616,0.006197889259296405,0.45104736464856154
TT,TCGA-LUAD,TCGA-78-7167-01,TCGA-86-8671-01,115.72422888944996,0.0036256125030834888,0.41957121117128526
TT,TCGA-LUAD,TCGA-55-8091-01,TCGA-86-7953-01,171.7028832757341,0.0027716157660787936,0.47589441836821145
TT,TCGA-LUAD,TCGA-55-7227-01,TCGA-55-7725-01,55.393435076428126,0.006061041209052873,0.3357418927092257
TT,TCGA-LUAD,TCGA-86-A4JF-01,TCGA-KN-8422-01,27.189706892924367,0.012288281097808003,0.3341147612672625
TT,TCGA-LUAD,TCGA-55-A48X-01,TCGA-N6-A4V9-01,47.79150095473162,0.004129031901945869,0.1973326320839633
TT,TCGA-LUAD,TCGA-49-AARR-01,TCGA-64-5775-01,35.7664036483809,0.005081875745192501,0.1817604191934715
TT,TCGA-LUAD,TCGA-55-6968-01,TCGA-86-8671-01,106.18468973319506,0.003781979122341305,0.40158827968323285
TT,TCGA-LUAD,TCGA-05-4389-01,TCGA-49-6742-01,153.65095147579,0.0033780140607651164,0.5190350745351573
TT,TCGA-LUAD,TCGA-44-5645-01,TCGA-TQ-A7RN-01,106.01013665104458,0.005842170069982486,0.619329247457486
TT,TCGA-LUAD,TCGA-78-8648-01,TCGA-KN-8426-01,31.48012484678812,0.007789673472759908,0.24521989343819547
TT,TCGA-LUAD,TCGA-05-4418-01,TCGA-NJ-A55R-01,82.12961982759674,0.005273280003026095,0.43309248189300137
TT,TCGA-LUAD,TCGA-L3-A524-01,TCGA-MP-A5C7-01,104.47028304713768,0.006141806054803243,0.6416362169659189
TT,TCGA-LUAD,TCGA-75-6211-01,TCGA-86-8073-01,112.4469798419021,0.0041302553300768974,0.4644347378430656
TT,TCGA-LUAD,TCGA-55-8621-01,TCGA-91-6829-01,128.86580461084338,0.002947213882654136,0.37979508834847303
TT,TCGA-LUAD,TCGA-44-2668-01,TCGA-MP-A4T8-01,97.17262728288985,0.005246062034314393,0.5097736307633514
TT,TCGA-LUAD,TCGA-MP-A4T8-01,TCGA-TQ-A7RV-01,90.21086502453285,0.005474792453663885,0.49388576307480375
TT,TCGA-LUAD,TCGA-50-6593-01,TCGA-75-6206-01,140.47926617954928,0.002996334842374467,0.42092291988498054
TT,TCGA-LUAD,TCGA-38-4630-01,TCGA-78-7161-01,103.01907418281084,0.005812970235726435,0.598846811936773
TT,TCGA-LUAD,TCGA-55-7727-01,TCGA-55-8087-01,104.91008657219639,0.005579660266904456,0.5853626416443909
TT,TCGA-LUAD,TCGA-78-7540-01,TCGA-NJ-A55A-01,127.83748638475419,0.0035419363962540134,0.45279224583178773
TT,TCGA-LUAD,TCGA-05-4250-01,TCGA-78-7145-01,143.76227659609393,0.0033585429867135476,0.48283178581578445
