cell_type,region_a,region_b,omega,expected_omega,residual,tier
Astrocyte,Human A1C,Human ITG,5.4183161642356055,7.07,0.7667,None
Astrocyte,Human A1C,Human Idg,5.928882153374547,9.1,0.6515,Weak
Astrocyte,Human A1C,Human Ig,4.935555140901635,5.67,0.8702,None
Astrocyte,Human A1C,Human LEC,8.178583491586991,11.94,0.6847,Weak
Astrocyte,Human A1C,Human LG,28.75765137433217,17.01,1.6904,None
Astrocyte,Human A1C,Human LP,22.083370612043378,12.45,1.7741,None
Astrocyte,Human A1C,Human LP-VPL,16.036503492938213,15.93,1.0066,None
Astrocyte,Human A1C,Human La,4.749398595452166,8.13,0.5844,Weak
Astrocyte,Human A1C,Human M1C,7.6277222217343486,8.65,0.8816,None
Astrocyte,Human A1C,Human MD,34.086426870620166,19.68,1.732,None
Astrocyte,Human A1C,Human MD-Re,14.910428714120366,13.68,1.0903,None
Astrocyte,Human A1C,Human MEC,5.875196264347037,8.79,0.6687,Weak
Astrocyte,Human A1C,Human MG,16.36743618075589,10.55,1.5513,None
Astrocyte,Human A1C,Human MN,6.312865534945069,10.35,0.6102,Weak
Astrocyte,Human A1C,Human MTG,6.113438866568792,8.2,0.7457,Weak
Astrocyte,Human A1C,Human MoAN,24.066304964645276,16.21,1.4845,None
Astrocyte,Human A1C,Human MoRF-MoEN,34.28926611820535,20.07,1.7087,None
Astrocyte,Human A1C,Human MoSR,9.650009114634459,10.01,0.9642,None
Astrocyte,Human A1C,Human NAC,10.974470559371241,13.88,0.7908,None
Astrocyte,Human A1C,Human PAG,29.727772492327077,21.61,1.3756,None
Astrocyte,Human A1C,Human PAG-DR,18.866215308550384,14.52,1.2996,None
Astrocyte,Human A1C,Human PB,25.815376061557433,17.49,1.476,None
Astrocyte,Human A1C,Human PN,24.417613136739448,23.54,1.0373,None
Astrocyte,Human A1C,Human PTR,17.629000704038965,11.81,1.4929,None
Astrocyte,Human A1C,Human Pir,5.742516060279647,9.85,0.5831,Weak
Astrocyte,Human A1C,Human PnAN,29.253943181665534,18.87,1.5502,None
Astrocyte,Human A1C,Human PnEN,28.45265299424196,15.44,1.8425,None
Astrocyte,Human A1C,Human PnRF,32.87779182636431,23.84,1.3788,None
Astrocyte,Human A1C,Human Pro,3.4759137797758255,6.52,0.533,Weak
Astrocyte,Human A1C,Human Pu,11.249482940478483,10.6,1.0617,None
Astrocyte,Human A1C,Human Pul,45.20117560819311,22.07,2.0483,None
Astrocyte,Human A1C,Human RN,12.877925877438724,9.58,1.3444,None
Astrocyte,Human A1C,Human S1C,4.026537198573933,5.52,0.7289,Weak
Astrocyte,Human A1C,Human SC,24.405288499040378,14.9,1.6384,None
Astrocyte,Human A1C,Human SEP,8.719352687116196,14.33,0.6084,Weak
Astrocyte,Human A1C,Human SI,8.103228528594638,10.88,0.745,Weak
Astrocyte,Human A1C,Human SN,29.445465394723527,23.21,1.2688,None
Astrocyte,Human A1C,Human SN-RN,26.388289080461977,22.85,1.1548,None
Astrocyte,Human A1C,Human STG,9.135967797306645,10.17,0.8979,None
Astrocyte,Human A1C,Human STH,20.698979317170316,14.29,1.4486,None
Astrocyte,Human A1C,Human SpC,13.627168467718755,18.55,0.7345,Weak
Astrocyte,Human A1C,Human Sub,7.85554532545459,11.21,0.7009,Weak
Astrocyte,Human A1C,Human TF,3.6579842581241913,5.91,0.619,Weak
Astrocyte,Human A1C,Human TH-TL,4.511167337814439,7.83,0.5761,Weak
Astrocyte,Human A1C,Human V1C,5.9404073821156524,7.15,0.831,None
Astrocyte,Human A1C,Human V2,4.213593531746027,6.74,0.6249,Weak
Astrocyte,Human A1C,Human VA,11.051284148105355,12.81,0.8627,None
Astrocyte,Human A1C,Human VLN,28.37356592820683,19.32,1.4686,None
Astrocyte,Human A1C,Human VPL,8.57425524239206,8.95,0.9584,None
Astrocyte,Human A5-A7,Human A13,2.6177492080344944,6.45,0.4058,Moderate
Astrocyte,Human A5-A7,Human A14,6.196896122782807,9.98,0.6211,Weak
Astrocyte,Human A5-A7,Human A19,3.499441725088749,7.63,0.4586,Moderate
Astrocyte,Human A5-A7,Human A23,2.886888508957179,6.08,0.4745,Moderate
Astrocyte,Human A5-A7,Human A24,7.227237740458181,11.58,0.6239,Weak
Astrocyte,Human A5-A7,Human A25,9.064679481591192,10.15,0.8928,None
Astrocyte,Human A5-A7,Human A29-A30,2.262906563731222,4.71,0.4806,Moderate
Astrocyte,Human A5-A7,Human A32,5.795507659321779,10.52,0.5508,Weak
Astrocyte,Human A5-A7,Human A35-36,2.300449934846723,4.8,0.4792,Moderate
Astrocyte,Human A5-A7,Human A35-A36,8.763132106494444,9.66,0.9074,None
Astrocyte,Human A5-A7,Human A35r,9.315241354438326,15.73,0.592,Weak
Astrocyte,Human A5-A7,Human A38,5.719467976199611,8.97,0.6375,Weak
