pair_type,cancer,organ,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-LUAD,Lung,TCGA-44-7670-01,TCGA-55-8513-01,0.0021148458643788226,0.29020850153861116,137.22442208517728,137.22442208517728
TT,TCGA-LUAD,Lung,TCGA-50-5931-01,TCGA-55-8206-01,0.0020869640224171577,0.2814619798503974,134.86671395724554,134.86671395724554
TT,TCGA-LUAD,Lung,TCGA-05-4403-01,TCGA-55-8205-01,0.0024183786451001774,0.33594023046810667,138.91134506531787,138.91134506531787
TT,TCGA-LUAD,Lung,TCGA-50-8459-01,TCGA-TQ-A7RS-01,0.002448324620417045,0.1501734078004883,61.33721261803425,61.33721261803425
TT,TCGA-LUAD,Lung,TCGA-38-7271-01,TCGA-86-7955-01,0.002233265265414719,0.2782989135936445,124.61525189304557,124.61525189304557
TT,TCGA-LUAD,Lung,TCGA-64-5778-01,TCGA-73-4662-01,0.003753195607149769,0.24559938714487062,65.43740664009312,65.43740664009312
TT,TCGA-LUAD,Lung,TCGA-55-8302-01,TCGA-78-7156-01,0.0028901638586704523,0.28187174611686916,97.52794647654933,97.52794647654933
TT,TCGA-LUAD,Lung,TCGA-86-8585-01,TCGA-MP-A4TK-01,0.001495756819268963,0.2667319497656754,178.32574542166427,178.32574542166427
TT,TCGA-LUAD,Lung,TCGA-49-6743-01,TCGA-97-7552-01,0.0015755763402782934,0.33087683146272096,210.00368119533854,210.00368119533854
TT,TCGA-LUAD,Lung,TCGA-78-7153-01,TCGA-KN-8429-01,0.004099035059279902,0.3652800272834156,89.11366260614179,89.11366260614179
TT,TCGA-LUAD,Lung,TCGA-05-5429-01,TCGA-50-5051-01,0.0033984539725296315,0.37669827462199473,110.84401250301478,110.84401250301478
