pair,ct_i,ct_j,organ_i,organ_j,same_organ,same_ct,omega,js_raw,spearman_dist,cosine_dist,marker_jaccard_dist
"Sple|cd8-positive, .. vs Lung|cd8-positive a..","cd8-positive, alpha-beta memory t cell",cd8-positive alpha-beta t cell,Spleen,Lung,False,False,5.094311695530055,0.0413934195849731,0.23059765394849985,0.048279643058776855,0.28326180257510725
"Sple|cd8-positive, .. vs Lung|bronchial smoo..","cd8-positive, alpha-beta memory t cell",bronchial smooth muscle cell,Spleen,Lung,False,False,16.06468958963112,0.15852247072975784,0.32992800062603245,0.2924867272377014,0.6348122866894198
"Sple|cd8-positive, .. vs Lung|bronchial vess..","cd8-positive, alpha-beta memory t cell",bronchial vessel endothelial cell,Spleen,Lung,False,False,21.542850054849588,0.13398493945415452,0.28655211992743823,0.2575213313102722,0.5964912280701755
"Sple|cd8-positive, .. vs Lung|EC of lymphati..","cd8-positive, alpha-beta memory t cell",endothelial cell of lymphatic vessel,Spleen,Lung,False,False,11.43019212883962,0.1857626562917412,0.40052172703699807,0.30550616979599,0.6254295532646048
"Sple|cd8-positive, .. vs Lung|smooth muscle ..","cd8-positive, alpha-beta memory t cell",smooth muscle cell,Spleen,Lung,False,False,13.10816840914176,0.1639353936211737,0.3605813648934697,0.275110125541687,0.5815602836879432
Sple|plasma cell vs Sple|nk cell,plasma cell,nk cell,Spleen,Spleen,True,False,16.990070023502962,0.09957903812487982,0.17770672952951105,0.22852802276611328,0.6885245901639344
"Sple|plasma cell vs Sple|cd4-positive, ..",plasma cell,"cd4-positive, alpha-beta memory t cell",Spleen,Spleen,True,False,13.772117556921728,0.09288808185198824,0.18501228530618685,0.20112234354019165,0.6111111111111112
Sple|plasma cell vs Sple|macrophage,plasma cell,macrophage,Spleen,Spleen,True,False,22.666645854017084,0.10875298631622751,0.19807890271583584,0.23921024799346924,0.7012987012987013
Sple|plasma cell vs Sple|naive thymus-d..,plasma cell,"naive thymus-derived cd4-positive, alpha-beta t cell",Spleen,Spleen,True,False,14.167863061601285,0.09362166480078402,0.19576420166273723,0.20240259170532227,0.6301369863013699
Sple|plasma cell vs Sple|naive b cell,plasma cell,naive b cell,Spleen,Spleen,True,False,9.575965563234055,0.1089131490077199,0.2194413053873232,0.24774277210235596,0.6254295532646048
Sple|plasma cell vs Sple|type i nk t cell,plasma cell,type i nk t cell,Spleen,Spleen,True,False,15.624243879213832,0.09407826956189173,0.18366225027816385,0.2084430456161499,0.6394557823129252
Sple|plasma cell vs Sple|naive thymus-d..,plasma cell,"naive thymus-derived cd8-positive, alpha-beta t cell",Spleen,Spleen,True,False,11.336054161286096,0.1173335219200389,0.23356842013742418,0.2535012364387512,0.6348122866894198
Sple|plasma cell vs Sple|EC,plasma cell,endothelial cell,Spleen,Spleen,True,False,15.33799704705673,0.16030947273115403,0.2793133909242982,0.3551950454711914,0.9389920424403183
Sple|plasma cell vs Sple|mature nk t cell,plasma cell,mature nk t cell,Spleen,Spleen,True,False,12.95497556014329,0.10064942183597488,0.21006118754523806,0.22017884254455566,0.6348122866894198
Sple|plasma cell vs Sple|regulatory t c..,plasma cell,regulatory t cell,Spleen,Spleen,True,False,17.35129201504529,0.08903775562228938,0.22851894045342502,0.18280911445617676,0.6206896551724138
Sple|plasma cell vs Sple|intermediate m..,plasma cell,intermediate monocyte,Spleen,Spleen,True,False,5.641138868558832,0.18969737840058587,0.34188104668371777,0.39987558126449585,0.8795518207282913
Sple|plasma cell vs Sple|innate lymphoi..,plasma cell,innate lymphoid cell,Spleen,Spleen,True,False,12.404247452136136,0.11415318951065942,0.28134516455882264,0.21590125560760498,0.6348122866894198
Sple|plasma cell vs Sple|erythrocyte,plasma cell,erythrocyte,Spleen,Spleen,True,False,5.098029032066055,0.17800792971412976,0.2943922081422161,0.42762839794158936,0.9276139410187667
Sple|plasma cell vs Sple|hematopoietic ..,plasma cell,hematopoietic stem cell,Spleen,Spleen,True,False,22.154245932133847,0.09935435529163114,0.273667740494535,0.1687644124031067,0.6394557823129252
Sple|plasma cell vs Sple|cd1c-positive ..,plasma cell,cd1c-positive myeloid dendritic cell,Spleen,Spleen,True,False,16.951360658710666,0.11508417560242126,0.2935797206578893,0.2061671018600464,0.6531986531986532
Sple|plasma cell vs Sple|cd141-positive..,plasma cell,cd141-positive myeloid dendritic cell,Spleen,Spleen,True,False,13.321598676725946,0.139784430719198,0.32568511481570295,0.2480565905570984,0.6440677966101696
"Sple|plasma cell vs Sple|cd8-positive, ..",plasma cell,"cd8-positive, alpha-beta t cell",Spleen,Spleen,True,False,15.714723244273413,0.08605804415454385,0.2620531661789436,0.15365684032440186,0.6666666666666667
Sple|plasma cell vs Sple|plasmacytoid d..,plasma cell,plasmacytoid dendritic cell,Spleen,Spleen,True,False,6.420226778396746,0.10493485721065242,0.3291720244562264,0.1559709906578064,0.4496124031007752
Sple|plasma cell vs Sple|platelet,plasma cell,platelet,Spleen,Spleen,True,False,7.737336045597352,0.1965326098793716,0.42443019826532125,0.32302308082580566,0.7804878048780488
Sple|plasma cell vs Lung|macrophage,plasma cell,macrophage,Spleen,Lung,False,False,17.204378622414197,0.12898484025544016,0.20767299379058457,0.26640522480010986,0.7538940809968847
Sple|plasma cell vs Lung|type ii pneumo..,plasma cell,type ii pneumocyte,Spleen,Lung,False,False,23.1053245461257,0.14124118463989044,0.2490899669948745,0.2893657684326172,0.7301587301587302
Sple|plasma cell vs Lung|basal cell,plasma cell,basal cell,Spleen,Lung,False,False,21.63535026047485,0.12905978200913776,0.2554644000259576,0.24038422107696533,0.6348122866894198
Sple|plasma cell vs Lung|classical mono..,plasma cell,classical monocyte,Spleen,Lung,False,False,12.133910014248414,0.13381506562102943,0.23641003406226413,0.28001272678375244,0.6440677966101696
