series,rep,omega,k_f,k_n,k_total,cosine,eta
baseline,195,11.858940596331786,0.028604087961652275,0.0024120272573504675,0.002801762534774167,0.012127405366481048,
baseline,196,14.548031771643664,0.03844812630098429,0.00264284041336269,0.0032304653620795435,0.015006163719097465,
baseline,197,6.9419581917729465,0.018752202150691816,0.0027012842245168556,0.002393483652233276,0.01200901389996678,
baseline,198,7.838065210651905,0.019379914775138885,0.002472538088711184,0.002304308549543099,0.011187115563295547,
baseline,199,11.77185039345758,0.029844953243764752,0.0025352813913054506,0.0025405336120076422,0.012892858333230062,
N0_hk_drift,0,8.536498221153806,0.025154935448105563,0.0029467510911875506,0.002705021108921269,0.01276523135379648,0.25
N0_hk_drift,1,7.025447130075967,0.019753572340271728,0.0028117174572002126,0.002559106616502566,0.012404743298154775,0.25
N0_hk_drift,2,12.551437434669827,0.033168414405007965,0.0026425988718542723,0.0029354432226557717,0.013593568090302655,0.25
N0_hk_drift,3,8.31987467607389,0.02205236072046946,0.0026505640504282044,0.00287905280731707,0.013450387305643519,0.25
N0_hk_drift,4,15.989621454487878,0.04761904176225027,0.00297812189599303,0.0035092275498541377,0.014058915559515106,0.25
N0_hk_drift,5,16.768170461330488,0.049222909251572605,0.002935496711766309,0.0035014418455429396,0.014755244048827443,0.25
N0_hk_drift,6,6.353134317419257,0.015720603537972742,0.0024744642175861787,0.0023484590159966114,0.010895139386422392,0.25
N0_hk_drift,7,6.533650917028064,0.01724559473161289,0.002639503541070316,0.002509660727626795,0.011864542803178724,0.25
N0_hk_drift,8,17.574655142684087,0.050354447779960204,0.002865174159671723,0.003611477956781321,0.015374051075068063,0.25
N0_hk_drift,9,8.94507749102948,0.024520256960417368,0.0027412011785261075,0.002667657093567117,0.012398598048536935,0.25
N0_hk_drift,10,6.75439157042955,0.019394049747085036,0.002871324462737901,0.002742642803278981,0.011646627674645305,0.25
N0_hk_drift,11,11.55001188530811,0.03455758265256573,0.002991995419201585,0.0034484808003743504,0.013973282765417983,0.25
N0_hk_drift,12,9.50961583449511,0.02698554549664531,0.002837711424551783,0.0036606655785365178,0.014657232279940757,0.25
N0_hk_drift,13,7.032675368995983,0.020489810742020526,0.00291351579120959,0.002882233424525692,0.013229912555306922,0.25
N0_hk_drift,14,10.685721106734105,0.02887620557370611,0.0027023169784497203,0.002753353814082154,0.012572511263321595,0.25
N0_hk_drift,15,9.332692609269671,0.025093426029641215,0.002688765941430155,0.002655094498886756,0.01223563069205913,0.25
N0_hk_drift,16,6.354711903622913,0.019210096014585305,0.0030229688309919055,0.002795755589422731,0.012951222658795114,0.25
N0_hk_drift,17,7.891396002014201,0.024757293651902882,0.003137251462933026,0.0028984702655114377,0.014091769365570772,0.25
N0_hk_drift,18,8.27898912486441,0.021614890393606152,0.0026108127535389354,0.0024179426006496352,0.011866327769124885,0.25
N0_hk_drift,19,8.533576570890741,0.023038313339029934,0.002699725390361755,0.003240604793594087,0.012788654712270753,0.25
N0_hk_drift,20,8.025813183069443,0.021291557982414902,0.0026528848226033616,0.002853479040462514,0.013137137792032183,0.25
N0_hk_drift,21,14.482500785027161,0.04292156596614327,0.002963684698054223,0.0031620737311200743,0.013380279688877561,0.25
N0_hk_drift,22,8.519593370873103,0.021568007546693566,0.002531577107943972,0.0024388710112995915,0.011473327767052788,0.25
N0_hk_drift,23,7.810329824626145,0.01848010431418099,0.002366110616214031,0.0023254374076153834,0.011173482251780609,0.25
N0_hk_drift,24,8.104182837271198,0.023179445507270875,0.002860182941661734,0.002912442771867298,0.013314628722299049,0.25
N0_hk_drift,25,5.320384180488573,0.015277758892475589,0.002871551822987457,0.0023842942378089057,0.011132157917858931,0.25
N0_hk_drift,26,9.5512263961376,0.02641989024706786,0.0027661254326200183,0.002636960803499281,0.011924247433700574,0.25
N0_hk_drift,27,17.966926373047464,0.0416595637540571,0.0023186806073047317,0.0028702387042630643,0.01169234808466535,0.25
N0_hk_drift,28,6.759036405442893,0.018577653696125983,0.0027485654140234897,0.002479401567162638,0.01159463654819004,0.25
N0_hk_drift,29,5.8080971050290415,0.02143424104124671,0.003690406798241631,0.0029818548552722865,0.014053869587938084,0.25
N0_hk_drift,0,3.203402325355018,0.012214629203167396,0.003813017524051933,0.003359328879589473,0.013639170641556175,0.5
N0_hk_drift,1,7.005254050852496,0.024786619740070896,0.0035382899121345237,0.003559835850039014,0.014205900958262685,0.5
N0_hk_drift,2,13.219660579005046,0.03924925357930199,0.0029690061514617205,0.0036747152712992273,0.014009657092812433,0.5
N0_hk_drift,3,4.728785996351306,0.016002097282285997,0.0033839757803869937,0.0032826110309704046,0.013868700381691967,0.5
N0_hk_drift,4,4.024400037264866,0.018911507851137703,0.004699211727467997,0.003994505448854976,0.016677639113678477,0.5
N0_hk_drift,5,5.751698588808765,0.0218424838722621,0.0037975710192397097,0.004547021924589011,0.01616238430343242,0.5
N0_hk_drift,6,13.590413054122031,0.04620073968624899,0.0033995096030018093,0.0043872680212297885,0.01656489258942595,0.5
N0_hk_drift,7,4.585542318204875,0.016571737136167802,0.0036139099775346142,0.0034933122748559745,0.014395367539557391,0.5
N0_hk_drift,8,18.046476375271453,0.05776443385173752,0.0032008704996223194,0.004635329178568034,0.017417139484723232,0.5
N0_hk_drift,9,6.835506419657716,0.022047182996466127,0.0032253913086910868,0.0032633616980651597,0.013731714552224328,0.5
N0_hk_drift,10,3.79036042057559,0.015421390241961354,0.004068581488516999,0.003510859565648539,0.014582859201205944,0.5
N0_hk_drift,11,5.511641079918552,0.01977563997540351,0.003587976736630271,0.003983566131078744,0.014886734029782689,0.5
N0_hk_drift,12,5.313068738187738,0.01593611268377278,0.002999417750655436,0.0032375168269394424,0.013327329427379353,0.5
N0_hk_drift,13,6.17478695388847,0.02491040637376815,0.00403421309266083,0.0038465136991132362,0.0158033339639575,0.5
N0_hk_drift,14,9.557089726673958,0.03433864187376621,0.003593001934252707,0.0036433901692421574,0.015128122137553657,0.5
N0_hk_drift,15,7.8285129622958305,0.02854080824928501,0.0036457509091119885,0.003831741561085563,0.01637147990752763,0.5
N0_hk_drift,16,4.948675055499282,0.01590977829127794,0.0032149571577947886,0.003283555988984716,0.014861130114361742,0.5
N0_hk_drift,17,4.566469080480376,0.01769918954087163,0.003875902634822995,0.0035085545570172107,0.01477660944751813,0.5
N0_hk_drift,18,8.842835485480379,0.030271264303460735,0.0034232531356220607,0.0039278772073769175,0.016066668483246782,0.5
N0_hk_drift,19,6.807135598900081,0.025155587389087183,0.0036954732315236825,0.003670025124300983,0.015197140256266506,0.5
N0_hk_drift,20,6.124974191101911,0.02417973042850043,0.003947727724898443,0.003576352320892121,0.015178896048703927,0.5
N0_hk_drift,21,4.956477580960227,0.016803804984981192,0.003390271560902685,0.0038810217022105754,0.015604934987026642,0.5
N0_hk_drift,22,5.77896871295206,0.019226448850130144,0.003326968842561657,0.0037653078953017293,0.015361952476327767,0.5
N0_hk_drift,23,12.804499044899197,0.049026139479921,0.003828821362554677,0.004638901128348363,0.017338720780091244,0.5
N0_hk_drift,24,6.390313467533806,0.022225849203143633,0.0034780530432603624,0.003525020519690872,0.01522767863624197,0.5
N0_hk_drift,25,4.655590656555898,0.017667082742234597,0.003794810163852402,0.0035156072036917523,0.015138862847643764,0.5
N0_hk_drift,26,12.284067588444671,0.039776495048915714,0.0032380556979621725,0.004187553154275307,0.015646308929662123,0.5
